"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"03/08/2023","3,842,861","69%","1,514,182","68%","203,258","65%","186,940","68%","30,476","102%","918,426","100%","7,452","47%"
"03/09/2023","3,827,656","69%","1,515,155","68%","201,711","64%","186,197","68%","29,847","100%","944,406","102%","7,211","45%"
"03/10/2023","3,502,339","63%","1,408,909","63%","182,873","58%","160,550","58%","28,209","95%","964,271","105%","6,135","38%"
"03/11/2023","2,230,530","73%","821,990","62%","78,979","73%","88,667","65%","15,493","91%","842,108","97%","1,796","35%"
"03/12/2023","1,773,585","77%","686,039","69%","75,970","88%","70,403","75%","16,644","94%","832,873","103%","1,547","49%"
"03/13/2023","3,352,388","60%","1,377,045","61%","179,787","57%","157,310","57%","26,027","88%","852,961","93%","6,358","40%"
"03/14/2023","3,577,250","64%","1,360,497","61%","189,402","60%","159,031","58%","26,262","88%","775,384","84%","6,866","43%"
"03/15/2023","3,912,366","70%","1,493,605","67%","205,092","65%","187,128","68%","29,687","100%","916,918","100%","7,473","47%"
"03/16/2023","3,949,788","71%","1,522,248","68%","209,838","67%","187,573","68%","30,151","101%","976,134","106%","7,562","47%"
"03/17/2023","3,661,519","66%","1,408,472","63%","199,191","64%","171,443","62%","28,094","94%","965,113","105%","6,790","43%"
"03/18/2023","2,417,873","79%","921,569","69%","102,021","95%","101,788","75%","16,828","99%","924,274","106%","1,839","36%"
"03/19/2023","1,894,476","83%","661,736","67%","82,032","95%","72,936","77%","16,471","93%","880,371","109%","1,247","40%"
"03/20/2023","3,442,589","62%","1,444,823","64%","191,367","61%","167,256","61%","26,951","91%","896,248","97%","6,895","43%"
"03/21/2023","3,801,084","68%","1,511,670","67%","213,026","68%","189,925","69%","29,466","99%","918,684","100%","7,850","49%"
"03/22/2023","3,797,399","68%","1,509,096","67%","202,826","65%","184,321","67%","29,999","101%","920,292","100%","7,589","48%"
"03/23/2023","3,774,396","68%","1,466,839","65%","200,870","64%","177,877","65%","29,189","98%","934,634","101%","7,208","45%"
"03/24/2023","3,534,300","63%","1,420,346","63%","188,352","60%","159,574","58%","27,883","94%","959,147","104%","6,133","38%"
"03/25/2023","2,153,554","70%","784,068","59%","89,101","83%","82,702","61%","15,556","92%","830,547","95%","1,765","35%"
"03/26/2023","1,939,984","85%","724,870","73%","83,054","96%","81,819","87%","16,878","96%","871,824","108%","1,648","52%"
"03/27/2023","3,397,258","61%","1,426,226","64%","192,461","61%","166,543","60%","26,394","89%","885,237","96%","6,675","42%"
"03/28/2023","3,765,920","68%","1,490,842","67%","207,837","66%","189,294","69%","28,923","97%","894,984","97%","7,541","47%"
"03/29/2023","3,872,948","70%","1,521,968","68%","208,736","67%","187,520","68%","29,771","100%","922,903","100%","7,825","49%"
"03/30/2023","3,860,289","69%","1,486,845","66%","200,601","64%","187,344","68%","29,363","99%","957,635","104%","7,512","47%"
"03/31/2023","3,573,735","64%","1,423,686","64%","184,342","59%","158,879","58%","28,599","96%","977,962","106%","6,426","40%"
"04/01/2023","2,283,533","72%","842,213","63%","82,140","72%","88,096","59%","16,428","98%","856,286","94%","1,520","30%"
"04/02/2023","1,949,665","80%","716,880","72%","76,059","83%","79,027","77%","17,660","95%","855,422","99%","1,319","40%"
"04/03/2023","3,597,785","65%","1,475,017","67%","182,947","59%","162,370","57%","27,387","95%","899,177","96%","7,076","44%"
"04/04/2023","3,906,882","70%","1,519,740","70%","200,063","64%","188,769","66%","29,698","103%","913,561","97%","7,633","47%"
"04/05/2023","3,799,965","68%","1,432,322","66%","205,060","66%","185,283","65%","29,462","102%","938,533","100%","7,163","44%"
"04/06/2023","3,421,271","61%","1,264,311","58%","193,340","62%","169,192","59%","27,061","94%","914,933","97%","6,122","38%"
"04/07/2023","3,130,675","56%","1,150,222","53%","187,800","60%","159,262","56%","23,831","82%","900,772","96%","4,925","30%"
"04/08/2023","2,393,347","76%","882,727","66%","108,740","95%","99,273","67%","16,256","97%","872,566","96%","2,393","47%"
"04/09/2023","1,855,826","76%","654,259","66%","98,030","107%","85,620","83%","19,026","102%","904,505","104%","1,916","59%"
"04/10/2023","3,142,740","56%","1,236,634","57%","191,412","62%","170,713","60%","24,135","83%","922,582","98%","6,121","38%"
"04/11/2023","3,537,843","63%","1,316,710","60%","210,828","68%","193,831","68%","27,777","96%","895,251","95%","7,081","44%"
"04/12/2023","3,576,687","64%","1,311,418","60%","207,802","67%","191,574","67%","28,326","98%","890,891","95%","6,863","42%"
"04/13/2023","3,628,304","65%","1,311,906","60%","200,072","64%","183,658","64%","28,451","98%","939,226","100%","6,668","41%"
"04/14/2023","3,471,420","62%","1,294,357","59%","190,858","61%","173,790","61%","27,514","95%","989,052","105%","5,869","36%"
"04/15/2023","2,365,464","75%","890,050","67%","99,793","87%","103,902","70%","16,804","101%","916,008","100%","1,743","34%"
"04/16/2023","1,864,753","77%","728,462","73%","80,318","88%","85,026","83%","16,835","90%","881,923","102%","1,309","40%"
"04/17/2023","3,418,834","61%","1,438,043","66%","188,445","61%","167,759","58%","27,611","95%","897,271","95%","6,926","43%"
"04/18/2023","3,862,133","69%","1,526,133","70%","207,882","67%","194,548","68%","29,658","103%","929,653","99%","7,879","49%"
"04/19/2023","3,927,706","70%","1,530,452","70%","206,116","66%","195,085","68%","30,829","107%","952,981","101%","7,889","49%"
"04/20/2023","4,002,433","72%","1,520,258","70%","208,664","67%","189,699","66%","30,106","104%","1,014,633","108%","7,577","47%"
"04/21/2023","3,492,257","63%","1,310,737","60%","195,442","63%","174,727","61%","27,777","96%","994,549","106%","6,005","37%"
"04/22/2023","2,506,140","79%","893,014","67%","106,134","93%","106,032","71%","16,865","101%","931,077","102%","1,715","34%"
"04/23/2023","1,923,243","79%","673,668","68%","87,793","96%","79,003","77%","15,947","85%","880,726","102%","1,326","41%"
"04/24/2023","3,561,262","64%","1,466,762","67%","196,593","63%","173,997","61%","27,254","94%","911,973","97%","7,020","43%"
"04/25/2023","3,956,922","71%","1,529,162","70%","216,767","70%","192,115","67%","29,504","102%","927,611","99%","7,806","48%"
"04/26/2023","3,994,837","72%","1,531,476","70%","216,097","70%","191,885","67%","30,191","104%","947,254","101%","7,758","48%"
"04/27/2023","3,999,831","72%","1,506,783","69%","216,674","70%","184,365","64%","29,969","104%","981,809","104%","7,564","47%"
"04/28/2023","3,703,088","66%","1,424,078","65%","195,436","63%","160,861","56%","28,306","98%","996,548","106%","6,441","40%"
"04/29/2023","2,179,978","69%","715,608","54%","85,167","75%","77,009","52%","15,688","94%","832,504","91%","1,871","37%"
"04/30/2023","1,744,098","72%","578,075","58%","75,065","82%","65,334","63%","15,451","83%","786,171","91%","1,355","42%"
"05/01/2023","3,664,755","64%","1,465,598","64%","188,566","59%","167,178","58%","27,445","93%","922,971","96%","6,960","40%"
"05/02/2023","3,961,858","69%","1,498,566","66%","211,550","66%","197,217","69%","29,472","100%","916,459","95%","7,749","45%"
"05/03/2023","4,030,601","70%","1,533,714","67%","209,450","66%","195,363","68%","30,850","105%","940,822","98%","7,862","45%"
"05/04/2023","3,985,001","70%","1,497,427","66%","206,323","65%","189,538","66%","30,449","104%","966,836","100%","7,417","43%"
"05/05/2023","3,759,375","66%","1,450,598","64%","200,675","63%","170,610","60%","28,952","98%","1,011,491","105%","6,514","37%"
"05/06/2023","2,563,102","80%","934,630","67%","111,525","94%","103,318","69%","18,349","106%","976,630","102%","2,584","53%"
"05/07/2023","2,033,790","85%","705,419","73%","92,076","94%","83,007","80%","17,822","105%","902,067","106%","2,705","77%"
"05/08/2023","3,563,340","62%","1,460,932","64%","198,056","62%","180,789","63%","27,771","94%","935,045","97%","7,196","41%"
"05/09/2023","3,925,555","69%","1,524,892","67%","221,290","69%","205,069","72%","29,923","102%","955,033","99%","7,827","45%"
"05/10/2023","4,014,009","70%","1,528,140","67%","221,747","69%","203,414","71%","31,360","107%","981,586","102%","7,998","46%"
"05/11/2023","4,015,942","70%","1,535,264","67%","210,683","66%","201,006","70%","30,899","105%","1,016,578","106%","7,619","44%"
"05/12/2023","3,723,192","65%","1,436,385","63%","201,367","63%","185,027","65%","29,397","100%","1,043,802","108%","6,629","38%"
"05/13/2023","2,487,178","77%","918,257","66%","113,810","96%","109,940","73%","18,340","106%","1,008,311","105%","1,973","41%"
"05/14/2023","1,926,966","81%","690,606","72%","102,178","105%","101,088","97%","20,222","119%","981,015","115%","1,654","47%"
"05/15/2023","3,553,443","62%","1,440,741","63%","201,209","63%","184,909","65%","25,892","88%","947,897","98%","6,956","40%"
"05/16/2023","4,002,015","70%","1,519,397","67%","227,489","71%","207,484","72%","29,747","101%","965,091","100%","7,930","46%"
"05/17/2023","4,104,786","72%","1,518,546","67%","223,059","70%","206,630","72%","30,423","103%","985,531","102%","7,118","41%"
"05/18/2023","4,082,154","71%","1,492,657","66%","218,955","69%","198,433","69%","29,842","101%","1,008,886","105%","7,530","43%"
"05/19/2023","3,789,929","66%","1,431,269","63%","208,310","65%","181,114","63%","28,381","97%","1,024,064","106%","6,362","37%"
"05/20/2023","2,314,672","72%","760,830","55%","102,957","87%","95,625","63%","16,570","96%","888,784","93%","1,970","41%"
"05/21/2023","2,132,724","89%","727,850","76%","103,484","106%","91,335","88%","17,545","103%","959,948","113%","1,919","55%"
"05/22/2023","3,571,748","62%","1,446,015","64%","203,122","64%","186,008","65%","27,038","92%","942,741","98%","6,935","40%"
"05/23/2023","3,929,003","69%","1,500,973","66%","219,619","69%","214,621","75%","29,538","100%","953,703","99%","7,928","46%"
"05/24/2023","3,960,264","69%","1,499,943","66%","219,886","69%","208,487","73%","30,495","104%","983,724","102%","7,667","44%"
"05/25/2023","3,859,385","67%","1,459,601","64%","215,946","68%","201,855","71%","29,311","100%","1,007,341","105%","7,183","41%"
"05/26/2023","3,496,511","61%","1,370,252","60%","207,347","65%","187,188","65%","27,037","92%","994,185","103%","5,747","33%"
"05/27/2023","2,375,741","74%","848,442","61%","116,439","98%","120,011","80%","16,731","97%","925,766","97%","2,913","60%"
"05/28/2023","2,029,088","85%","707,787","73%","102,985","106%","102,009","98%","17,527","103%","906,089","106%","2,426","69%"
"05/29/2023","1,952,779","82%","758,893","79%","99,456","102%","86,149","83%","12,121","71%","836,613","98%","2,520","72%"
"05/30/2023","3,714,864","65%","1,438,285","63%","227,623","71%","205,661","72%","27,645","94%","959,824","100%","7,398","43%"
"05/31/2023","3,911,382","68%","1,480,801","65%","229,227","72%","211,998","74%","30,078","102%","971,602","101%","7,691","44%"
"06/01/2023","3,894,167","69%","1,457,503","68%","210,483","63%","191,410","65%","30,088","103%","1,006,107","102%","7,152","44%"
"06/02/2023","3,626,490","65%","1,399,462","65%","202,543","61%","170,399","58%","29,570","101%","1,011,244","103%","6,470","40%"
"06/03/2023","2,411,704","75%","899,212","64%","115,723","94%","102,668","65%","18,118","105%","958,346","97%","1,837","36%"
"06/04/2023","1,988,330","76%","714,218","66%","103,120","105%","88,859","81%","18,429","102%","931,347","101%","1,573","40%"
"06/05/2023","3,544,106","63%","1,432,156","67%","200,806","60%","183,510","62%","27,920","95%","938,818","95%","6,892","43%"
"06/06/2023","3,929,131","70%","1,474,317","69%","218,376","66%","213,292","72%","29,999","102%","945,555","96%","7,795","48%"
"06/07/2023","3,743,889","67%","1,390,834","65%","212,982","64%","202,951","69%","31,147","106%","941,798","96%","7,334","45%"
"06/08/2023","3,268,529","58%","1,216,291","57%","189,487","57%","176,985","60%","27,689","95%","932,162","95%","5,503","34%"
"06/09/2023","3,425,232","61%","1,256,670","58%","214,001","64%","185,677","63%","25,845","88%","1,005,974","102%","5,482","34%"
"06/10/2023","2,608,756","81%","892,936","64%","139,304","113%","117,616","74%","17,996","104%","991,238","101%","1,978","39%"
"06/11/2023","2,075,651","79%","695,200","64%","106,971","109%","98,115","90%","17,958","99%","976,811","106%","1,582","41%"
"06/12/2023","3,479,404","62%","1,394,575","65%","202,015","61%","185,343","63%","27,520","94%","939,370","96%","6,744","42%"
"06/13/2023","3,968,160","71%","1,500,122","70%","233,588","70%","212,364","72%","30,441","104%","971,010","99%","7,850","48%"
"06/14/2023","3,893,073","69%","1,434,687","67%","235,667","71%","207,746","70%","30,661","105%","971,437","99%","7,234","45%"
"06/15/2023","3,928,393","70%","1,475,300","69%","228,608","69%","206,188","70%","31,298","107%","1,028,832","105%","7,390","46%"
"06/16/2023","3,395,938","61%","1,300,751","61%","214,883","65%","177,916","60%","28,693","98%","1,025,514","104%","5,960","37%"
"06/17/2023","2,399,521","74%","872,453","62%","138,654","113%","111,460","70%","17,967","104%","1,000,053","102%","2,632","52%"
"06/18/2023","1,977,582","76%","707,615","65%","119,996","122%","95,597","88%","19,384","107%","971,860","105%","2,029","52%"
"06/19/2023","2,636,887","101%","1,075,747","99%","196,645","200%","168,591","154%","17,494","97%","964,071","104%","4,094","105%"
"06/20/2023","3,782,810","67%","1,434,258","67%","235,806","71%","224,371","76%","29,482","101%","979,074","100%","7,540","47%"
"06/21/2023","3,902,298","70%","1,430,476","67%","242,162","73%","221,141","75%","31,019","106%","999,201","102%","7,551","47%"
"06/22/2023","3,782,472","67%","1,367,709","64%","233,588","70%","208,969","71%","29,220","100%","1,013,372","103%","6,956","43%"
"06/23/2023","3,470,575","62%","1,282,954","60%","222,283","67%","188,373","64%","28,619","98%","1,022,942","104%","6,167","38%"
"06/24/2023","2,467,994","77%","844,674","60%","128,075","104%","109,217","69%","16,937","98%","951,605","97%","2,551","50%"
"06/25/2023","2,222,704","85%","689,020","63%","123,527","125%","113,238","104%","17,103","95%","948,428","103%","2,248","58%"
"06/26/2023","3,341,322","60%","1,314,743","61%","218,393","66%","185,070","63%","26,823","92%","962,862","98%","6,516","40%"
"06/27/2023","3,744,227","67%","1,391,914","65%","231,738","70%","209,234","71%","29,246","100%","969,784","99%","7,633","47%"
"06/28/2023","3,634,270","65%","1,305,832","61%","233,457","70%","207,293","70%","29,092","99%","988,315","101%","6,762","42%"
"06/29/2023","3,653,631","65%","1,307,649","61%","233,625","70%","200,724","68%","28,876","99%","1,036,568","105%","6,946","43%"
"06/30/2023","3,259,767","58%","1,248,822","58%","219,673","66%","178,064","60%","28,028","96%","1,043,286","106%","5,817","36%"
"07/01/2023","2,239,529","79%","859,295","64%","120,270","94%","99,597","64%","17,093","108%","956,890","103%","2,745","54%"
"07/02/2023","1,783,757","76%","668,297","61%","92,780","89%","74,415","70%","16,717","101%","832,828","94%","1,988","56%"
"07/03/2023","2,662,052","50%","1,117,930","54%","149,641","47%","128,417","45%","23,795","84%","860,662","90%","4,718","34%"
"07/04/2023","1,791,179","77%","631,937","58%","96,458","92%","84,010","79%","13,059","79%","715,453","81%","2,305","65%"
"07/05/2023","3,318,379","63%","1,296,583","63%","211,448","67%","189,434","67%","28,774","101%","963,342","100%","6,472","47%"
"07/06/2023","3,494,806","66%","1,333,630","64%","209,335","66%","186,822","66%","29,894","105%","959,636","100%","6,608","48%"
"07/07/2023","3,292,266","62%","1,273,900","61%","197,892","62%","171,597","61%","28,609","101%","977,009","102%","5,868","43%"
"07/08/2023","2,308,794","82%","867,047","64%","120,931","95%","107,854","70%","17,879","113%","949,008","103%","2,695","53%"
"07/09/2023","1,776,607","76%","651,953","59%","95,243","91%","83,783","79%","16,695","101%","869,686","98%","1,914","54%"
"07/10/2023","3,208,730","61%","1,307,297","63%","196,506","62%","171,497","61%","27,354","96%","925,569","96%","6,175","45%"
"07/11/2023","3,613,670","68%","1,381,701","67%","221,923","70%","200,151","71%","30,085","106%","952,112","99%","7,149","52%"
"07/12/2023","3,696,737","70%","1,383,484","67%","218,097","69%","199,169","70%","31,015","109%","977,898","102%","6,901","50%"
"07/13/2023","3,648,007","69%","1,359,302","66%","218,715","69%","190,952","67%","29,980","106%","990,761","103%","6,888","50%"
"07/14/2023","3,209,393","61%","1,231,624","59%","198,119","63%","163,840","58%","28,489","100%","986,748","103%","5,588","41%"
"07/15/2023","2,326,054","82%","889,709","66%","124,007","97%","107,124","69%","18,043","114%","983,132","106%","2,409","47%"
"07/16/2023","1,599,858","68%","583,645","53%","89,763","86%","72,406","68%","16,496","100%","817,659","92%","1,559","44%"
"07/17/2023","3,282,092","62%","1,310,810","63%","205,378","65%","182,216","64%","27,637","97%","964,710","100%","6,345","46%"
"07/18/2023","3,584,819","68%","1,313,665","63%","225,299","71%","204,203","72%","29,105","103%","944,208","98%","6,766","49%"
"07/19/2023","3,679,343","70%","1,342,781","65%","224,202","71%","203,857","72%","30,527","108%","969,944","101%","6,938","50%"
"07/20/2023","3,711,017","70%","1,333,607","64%","224,327","71%","197,400","70%","29,745","105%","1,004,167","104%","6,858","50%"
